lib_name,validity,value_type,memory,unserialize_1,unserialize_2,unserialize_3,serialize_1,serialize_2,serialize_3,prettify_1,prettify_2,prettify_3,get_child,add_child,delete_child,double_validity,double_accuracy,string_validity,error_validity
Jsoncpp,1,1,6716,12219,113231,238,1458,39804,46,1808,46738,529,8334,29544,54783,87,100,100,80
Qt6-Core,1,-2,4412,24564,59952,448,2275,23322,71,2594,29869,804,586,3582,230900,87,-2,-2,90
RapidJson,1,1,1012,6353,13246,60,498,15598,43,2175,18745,1211,2303,4838,6248,77,100,100,95
boost-json,1,1,1548,990,5163,-2,425,7493,-2,-1,-1,-2,6485,7171,2338,77,100,100,95
mysvac-jsonlib,1,1,4816,4497,21392,143,1255,14777,252,1341,24688,4620,4384,9385,2274,92,100,100,85
nlohmann-json,1,1,3776,8594,45721,126,622,8872,34,1175,15199,374,7324,10015,1742,77,100,100,95
