lib_name,validity,value_type,memory,unserialize_1,unserialize_2,unserialize_3,serialize_1,serialize_2,serialize_3,prettify_1,prettify_2,prettify_3,get_child,add_child,delete_child,double_validity,double_accuracy,string_validity,error_validity
Jsoncpp,1,1,6736,6470,107724,237,1450,40781,55,1766,49066,641,9512,33572,55993,87,100,100,80
Qt6-Core,1,-2,5016,20038,61327,435,2156,21381,71,2651,31086,825,572,3779,235595,87,-2,-2,90
RapidJson,1,1,1004,800,7795,68,306,12381,48,1456,18882,2065,1978,5553,6806,77,100,100,95
boost-json,1,1,1528,3661,10472,-2,513,7735,-2,-1,-1,-2,3838,7938,2297,77,100,100,95
mysvac-jsonlib,1,1,4764,1753,14859,118,936,14161,146,1426,26170,3535,4800,9337,2423,92,100,100,85
nlohmann-json,1,1,3640,4989,44061,86,671,9767,43,724,12376,185,6181,9510,1880,77,100,100,95
