lib_name,validity,value_type,memory,unserialize_1,unserialize_2,unserialize_3,serialize_1,serialize_2,serialize_3,prettify_1,prettify_2,prettify_3,get_child,add_child,delete_child,double_validity,double_accuracy,string_validity,error_validity
Jsoncpp,1,1,6728,10021,115162,234,1445,41007,49,1772,46392,675,8099,29236,57329,87,100,100,80
Qt6-Core,1,-2,5048,32096,59988,459,2160,21890,102,2776,31387,896,196,3460,235245,87,-2,-2,90
RapidJson,1,1,1008,702,6837,59,302,8514,21,905,16547,1513,941,4618,6505,77,100,100,95
boost-json,1,1,1624,1532,5950,-2,530,7101,-2,-1,-1,-2,4247,8997,2352,77,100,100,95
mysvac-jsonlib,1,1,4812,1583,15929,68,1088,15556,168,1237,28572,5858,4795,9915,2300,92,100,100,85
nlohmann-json,1,1,3724,7957,42515,178,1073,11805,46,760,11966,173,6058,10659,1856,77,100,100,95
