lib_name,validity,value_type,memory,unserialize_1,unserialize_2,unserialize_3,serialize_1,serialize_2,serialize_3,prettify_1,prettify_2,prettify_3,get_child,add_child,delete_child,double_validity,double_accuracy,string_validity,error_validity
Jsoncpp,1,1,6732,5196,120895,229,4234,41452,48,4225,46686,748,8203,29555,55513,87,100,100,80
Qt6-Core,1,-2,5500,30221,59069,512,2415,21902,71,2482,31782,730,578,3888,229415,87,-2,-2,90
RapidJson,1,1,1072,5400,11188,59,539,12191,34,985,18799,1254,1905,2483,6865,77,100,100,95
boost-json,1,1,1572,3116,9636,-2,593,12608,-2,-1,-1,-2,9120,6934,2187,77,100,100,95
mysvac-jsonlib,1,1,4860,3938,16584,120,1836,15089,165,4086,70889,12478,4895,9409,2283,92,100,100,85
nlohmann-json,1,1,3704,3326,48988,85,734,9319,22,1083,12473,104,6073,10629,1859,77,100,100,95
