lib_name,validity,value_type,memory,unserialize_1,unserialize_2,unserialize_3,serialize_1,serialize_2,serialize_3,prettify_1,prettify_2,prettify_3,get_child,add_child,delete_child,double_validity,double_accuracy,string_validity,error_validity
Jsoncpp,1,1,6732,13927,121676,301,1444,42155,50,1806,46149,656,8243,60451,57393,87,100,100,80
Qt6-Core,1,-2,4832,27094,58354,488,2226,22607,113,2727,29850,1204,393,4577,231774,87,-2,-2,90
RapidJson,1,1,1020,3661,9897,65,529,9467,38,1228,17090,1382,1167,5700,6786,77,100,100,95
boost-json,1,1,1620,1654,10864,-2,527,7502,-2,-1,-1,-2,5704,8109,2228,77,100,100,95
mysvac-jsonlib,1,1,4740,5807,26391,92,986,14190,122,1144,31541,3865,4948,9384,2233,92,100,100,85
nlohmann-json,1,1,3672,7274,46374,93,643,9177,22,760,11798,164,6651,10056,1819,77,100,100,95
