lib_name,validity,value_type,memory,unserialize_1,unserialize_2,unserialize_3,serialize_1,serialize_2,serialize_3,prettify_1,prettify_2,prettify_3,get_child,add_child,delete_child,double_validity,double_accuracy,string_validity,error_validity
Jsoncpp,1,1,6716,9200,141744,256,1452,41999,53,1826,47001,777,8697,31557,54643,87,100,100,80
Qt6-Core,1,-2,5352,27792,63514,517,2285,22372,70,2709,32140,953,575,5777,231007,87,-2,-2,90
RapidJson,1,1,1076,1676,7831,40,356,8254,21,880,16371,1812,1639,1944,7388,77,100,100,95
boost-json,1,1,1512,1486,8208,-2,525,6929,-2,-1,-1,-2,3802,6903,1399,77,100,100,95
mysvac-jsonlib,1,1,4792,5719,18658,104,1925,14271,155,1808,26623,4393,4852,9498,2248,92,100,100,85
nlohmann-json,1,1,3752,8557,43964,129,653,9006,37,779,12210,355,5863,9907,1822,77,100,100,95
