lib_name,validity,value_type,memory,unserialize_1,unserialize_2,unserialize_3,serialize_1,serialize_2,serialize_3,prettify_1,prettify_2,prettify_3,get_child,add_child,delete_child,double_validity,double_accuracy,string_validity,error_validity
Jsoncpp,1,1,6812,10098,136030,337,1399,40542,51,1730,49263,702,8402,29601,55081,87,100,100,80
Qt6-Core,1,-2,4956,27027,62116,477,2137,21405,71,2571,29527,837,168,3468,228717,87,-2,-2,90
RapidJson,1,1,944,1777,14224,53,552,15295,42,1239,14908,1461,907,1990,6920,77,100,100,95
boost-json,1,1,1620,1585,7033,-2,375,6202,-2,-1,-1,-2,4529,7430,2361,77,100,100,95
mysvac-jsonlib,1,1,4876,9058,31481,95,1097,14924,140,2410,27803,4726,4652,9192,2311,92,100,100,85
nlohmann-json,1,1,3720,2983,45290,93,592,9493,44,1188,12088,481,6221,11037,1769,77,100,100,95
