lib_name,validity,value_type,memory,unserialize_1,unserialize_2,unserialize_3,serialize_1,serialize_2,serialize_3,prettify_1,prettify_2,prettify_3,get_child,add_child,delete_child,double_validity,double_accuracy,string_validity,error_validity
Jsoncpp,1,1,6736,6866,120074,233,1419,39765,59,1688,46632,789,8547,29741,55882,87,100,100,80
Qt6-Core,1,-2,5088,24315,60923,451,2631,21453,66,2602,30569,906,173,3535,230256,87,-2,-2,90
RapidJson,1,1,1008,5218,14205,61,475,10442,42,1272,16861,1586,1149,4654,6552,77,100,100,95
boost-json,1,1,1560,8024,9221,-2,580,10073,-2,-1,-1,-2,9054,6796,2193,77,100,100,95
mysvac-jsonlib,1,1,4760,1709,17121,117,1097,16060,107,2406,29027,4278,5185,9347,2328,92,100,100,85
nlohmann-json,1,1,3688,10247,40812,131,691,9859,30,727,11384,392,5967,10333,2043,77,100,100,95
