lib_name,validity,value_type,memory,unserialize_1,unserialize_2,unserialize_3,serialize_1,serialize_2,serialize_3,prettify_1,prettify_2,prettify_3,get_child,add_child,delete_child,double_validity,double_accuracy,string_validity,error_validity
Jsoncpp,1,1,6712,10084,116617,218,1434,40856,49,1705,45981,719,8550,31501,56718,87,100,100,80
Qt6-Core,1,-2,4684,27662,59764,463,2421,20748,107,2937,30895,890,174,3366,232261,87,-2,-2,90
RapidJson,1,1,1072,1181,9508,53,657,10979,39,830,21008,2252,1562,1962,10093,77,100,100,95
boost-json,1,1,1588,4208,11754,-2,549,10989,-2,-1,-1,-2,6775,6859,2233,77,100,100,95
mysvac-jsonlib,1,1,4752,4721,30139,109,1819,18769,159,1285,26152,4751,5064,9562,2610,92,100,100,85
nlohmann-json,1,1,3640,4939,33743,124,808,10290,45,972,13277,509,6172,10661,1758,77,100,100,95
