lib_name,validity,value_type,memory,unserialize_1,unserialize_2,unserialize_3,serialize_1,serialize_2,serialize_3,prettify_1,prettify_2,prettify_3,get_child,add_child,delete_child,double_validity,double_accuracy,string_validity,error_validity
Jsoncpp,1,1,6740,9241,119768,231,1421,40556,47,1632,50547,818,9026,28794,56882,87,100,100,80
Qt6-Core,1,-2,4440,31186,59904,493,2144,21044,65,2604,30250,973,171,3421,230937,87,-2,-2,90
RapidJson,1,1,1012,1428,10254,49,528,9868,36,1348,20131,1524,924,2107,6810,77,100,100,95
boost-json,1,1,1492,5800,12326,-2,550,11755,-2,-1,-1,-2,6227,7577,2191,77,100,100,95
mysvac-jsonlib,1,1,4828,6861,31114,109,1779,16561,91,1378,30134,4982,7360,10006,2186,92,100,100,85
nlohmann-json,1,1,3788,3435,31947,166,681,9934,42,1096,13469,92,5901,9805,1938,77,100,100,95
